Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,Prodelphinidin A2 3'-gallate,Proanthocyanidin A-6
96,9.5002,4.731022817,3.484816466,2.716962182
97,9.6002,4.519571306,3.401668452,3.691101581
98,9.7002,5.420793976,3.370424707,3.741280282
99,9.8002,5.723335076,3.380277856,1.828690348
100,9.9002,4.829572169,3.627771973,3.020677913
101,10.0002,4.048003398,3.225141135,2.339578676
102,10.1002,4.455218239,3.564880909,2.731888328
103,10.2002,4.685453371,3.230218164,1.424306221
104,10.3002,4.132261863,4.000772932,2.438504238
105,10.4002,4.688790511,3.626223232,1.787481304
106,10.5002,4.320896246,4.156536609,3.182868564
107,10.6002,4.880610322,3.926983914,2.900639547
108,10.7002,4.791162342,3.839028973,2.49109266
109,10.8002,4.65415595,4.880998395,3.098630693
110,10.9002,4.735248671,4.409067374,4.385045847
111,11.0002,4.385317498,3.883743981,3.510482228
112,11.1002,4.134912447,4.855309088,3.698514737
113,11.2002,4.629882526,3.975461056,4.339581389
114,11.3002,4.324675383,5.789049014,3.979910006
115,11.4002,4.345778069,5.586613438,2.915275615
116,11.5002,4.674700983,5.676232171,3.229077942
117,11.6002,4.609091141,5.236033789,4.577234843
118,11.7002,4.247946044,4.130904018,4.497016582
119,11.8002,4.554924013,4.916049304,3.685221047
120,11.9002,4.481080285,3.965939959,3.097421001
121,12.0002,4.898528985,4.049438449,3.453503478
122,12.1002,4.745227356,4.854086189,3.072550072
123,12.2002,4.5875908,4.497121405,4.481797789
124,12.3002,5.260116259,3.679602339,4.612174152
125,12.4002,4.792421846,4.5145872,4.179662393
126,12.5002,5.080323131,4.679098992,4.0183996
127,12.6003,5.411126769,5.195789791,3.938777617
128,12.7003,4.951021221,4.671759817,3.857646936
129,12.8003,5.178599303,4.321326518,4.566146982
130,12.9003,4.926963536,4.565807122,4.289690563
131,13.0003,5.631182814,4.24689758,3.342379013
132,13.1003,6.011167504,5.065444323,3.374342423
133,13.2003,5.079580218,4.288989522,3.689022809
134,13.3003,5.02230478,4.203315208,3.347145788
135,13.4003,5.155805354,3.786643077,3.037266147
136,13.5003,4.840048468,3.827782337,2.836917863
137,13.6003,5.104906026,4.219381282,3.640279495
138,13.7003,5.414446711,4.613881356,3.155419921
139,13.8003,4.464025098,4.162093163,2.628057147
140,13.9003,5.08120094,3.992873572,3.107093502
141,14.0003,4.727915497,4.149850623,3.384704803
142,14.1003,4.99741963,6.51937633,3.875836553
143,14.2003,4.754935403,6.267923258,4.773307162
144,14.3003,4.990717432,4.716979934,5.057668675
145,14.4003,4.406656566,4.057629715,3.164830496
146,14.5003,4.100495727,5.219335032,4.664122744
147,14.6003,4.26635116,4.685471283,5.265217777
148,14.7003,4.933527661,5.750748298,4.971354039
149,14.8003,4.491170307,6.23999108,3.650012708
150,14.9003,4.552004089,4.612622381,4.530714453
151,15.0003,6.464842834,4.077202981,3.777698108
152,15.1003,5.531272244,3.74199653,5.891308185
153,15.2003,4.667357581,4.912908523,6.943069804
154,15.3003,4.659578888,3.640678318,6.136327884
155,15.4003,4.839585871,4.708954242,4.674664562
156,15.5003,5.35039426,4.719589125,5.141743597
157,15.6003,4.886914967,4.055998685,4.970030876
158,15.7003,4.333795115,4.132354099,5.912176333
159,15.8003,5.208135181,3.968458198,5.808263307
160,15.9003,3.972382305,4.681885613,3.800145275
161,16.0003,4.129636537,4.295972729,5.615033146
162,16.1003,4.433755164,4.452395933,4.087008715
163,16.2003,4.334559293,4.049790103,6.506215876
164,16.3003,4.462572444,4.853158264,3.92324416
165,16.4003,4.274825582,5.196173306,4.314150837
166,16.5003,5.085200665,5.487953629,4.053014885
167,16.6003,4.41938623,5.786714018,3.205515094
168,16.7003,5.340946083,5.126522882,3.518221756
169,16.8003,4.833107468,6.280632208,4.103564338
170,16.9003,4.94656662,4.095522324,4.966117925
