Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,,Proanthocyanidin A-6,,,
115,11.4002,224.7774178,392.3618594,267.0051438,,,
116,11.5002,241.3595634,394.7329808,272.2702928,,,
117,11.6002,251.7065155,386.6183087,280.5956232,,,
118,11.7002,216.3352735,400.8053899,265.4646682,,,
119,11.8002,234.688485,380.4948657,319.5479122,,,
120,11.9002,217.2060939,397.840988,274.2298257,,,
121,12.0002,224.6421449,425.9662881,277.7113595,,,
122,12.1002,264.5334897,421.2336748,261.8895674,,,
123,12.2002,223.7832068,413.64038,293.9240483,,,
124,12.3002,232.1958417,338.8157167,304.3126838,,,
125,12.4002,231.0200071,368.3372468,289.9210256,,,
126,12.5002,234.7158959,370.5654765,292.4800922,,,
127,12.6003,218.7929468,418.4564686,300.1712998,,,
128,12.7003,223.6474414,432.2937027,285.6653815,,,
129,12.8003,259.8745584,429.5327637,268.685328,,,
130,12.9003,273.1467644,396.2414903,323.0002631,,,
131,13.0003,284.7312624,401.9959682,296.5591633,,,
132,13.1003,264.2063292,398.1990096,286.538208,,,
133,13.2003,239.5257106,373.2573699,288.6680504,,,
134,13.3003,261.6054219,367.068279,240.4449627,,,
135,13.4003,277.355906,394.9394044,252.7600155,,,
136,13.5003,311.9817604,354.0823396,286.3504431,,,
137,13.6003,294.992446,400.3784107,283.3922897,,,
138,13.7003,267.2507731,387.7334351,269.9668565,,,
139,13.8003,263.6885614,435.5137554,248.2153564,,,
140,13.9003,293.1788128,421.6122986,230.7182383,,,
141,14.0003,274.5498706,421.2467279,275.8655116,,,
142,14.1003,246.617806,482.5693592,283.6943596,,,
143,14.2003,267.1025324,526.7223657,286.0659012,,,
144,14.3003,267.3855973,463.7768756,296.4761084,,,
145,14.4003,275.9174618,453.3904238,263.900236,,,
146,14.5003,276.5102156,529.9300034,279.7510419,,,
147,14.6003,303.3226012,463.0772547,295.8535307,,,
148,14.7003,274.7195271,488.2560358,272.80649,,,
149,14.8003,316.3543066,482.3933211,285.9064534,,,
150,14.9003,249.1702801,432.9826613,262.364446,,,
151,15.0003,256.1887003,442.4624507,232.6483249,,,
152,15.1003,282.3327146,469.0185814,244.8439973,,,
153,15.2003,284.7700898,434.7242204,255.403819,,,
154,15.3003,300.6914941,442.6411356,257.3851445,,,
155,15.4003,283.9426748,408.446136,298.1572675,,,
156,15.5003,313.9279281,431.1075777,309.3053548,,,
157,15.6003,299.2644087,425.7811752,316.444676,,,
158,15.7003,271.3684791,406.7025323,300.960687,,,
159,15.8003,286.1739585,423.7412239,295.4750852,,,
160,15.9003,284.7749522,412.6605743,299.0088796,,,
161,16.0003,281.3623261,408.3112499,281.4075196,,,
162,16.1003,299.4109179,392.5405029,300.7955909,,,
163,16.2003,287.4301825,380.0036556,305.3836353,,,
164,16.3003,279.6398782,383.5679245,280.9453199,,,
165,16.4003,264.2400855,388.6320541,266.5787623,,,
166,16.5003,310.7287546,380.4704655,282.3022427,,,
167,16.6003,347.5627189,399.8060628,246.6637387,,,
168,16.7003,320.337425,387.8524978,296.1459795,,,
169,16.8003,306.2234428,398.3620673,273.7063176,,,
170,16.9003,282.6925162,378.7031769,287.5224908,,,
171,17.0003,294.5332846,386.0142369,273.4719766,,,
172,17.1003,299.230246,407.411411,268.3038762,,,
173,17.2003,292.8728104,399.5454582,281.3803808,,,
174,17.3003,275.1649091,376.9008517,315.1673551,,,
175,17.4003,290.2484203,393.547368,254.4630736,,,
176,17.5004,311.0217725,404.1570967,287.7387651,,,
177,17.6004,271.612532,402.1571024,254.5366368,,,
178,17.7004,286.003633,416.4896305,284.2670898,,,
179,17.8004,255.8834321,411.9147777,287.5612419,,,
180,17.9004,303.2638239,462.6238624,272.4834752,,,
181,18.0004,282.7827447,436.7376515,246.1269267,,,
182,18.1004,281.1166994,426.8664862,241.7848305,,,
183,18.2004,268.8390323,438.1366768,267.3520505,,,
184,18.3004,271.9025419,487.8761359,298.1244892,,,
185,18.4004,263.6742445,399.8039888,277.1755143,,,
186,18.5004,275.2522271,376.2634785,262.0723625,,,
187,18.6004,283.4658603,401.3383586,289.2437409,,,
188,18.7004,256.2453786,414.9426934,270.2910752,,,
189,18.8004,268.6101214,445.2792125,272.6413105,,,
190,18.9004,256.0238471,407.7516527,292.3024398,,,
191,19.0004,291.5597679,418.9481657,325.0089775,,,
192,19.1004,284.7298779,420.4998295,301.4624031,,,
193,19.2004,291.8796052,348.8987026,284.0323405,,,
194,19.3004,268.0620572,452.2650662,296.275706,,,
195,19.4004,279.3440616,408.8098313,286.0234111,,,
196,19.5004,276.5638113,421.2547949,272.5890009,,,
197,19.6004,295.9614342,430.4207399,304.6272003,,,
198,19.7004,293.9469282,469.6460593,276.7733647,,,
199,19.8004,261.4465216,458.3010932,276.9771372,,,
200,19.9004,293.3545428,420.3571896,250.7702969,,,
201,20.0004,301.4031152,387.9887484,271.6554993,,,
202,20.1004,289.2693222,399.2335091,220.1516881,,,
203,20.2004,308.184959,370.329454,241.5886387,,,
204,20.3004,302.2224504,393.1431118,265.22722,,,
205,20.4004,304.3521324,384.8921734,232.984652,,,
206,20.5004,313.2216213,417.0111024,264.0148016,,,
207,20.6004,304.6945541,378.9647639,280.4077902,,,
208,20.7004,249.1568268,399.1136282,252.8022389,,,
209,20.8004,247.6412483,412.0335396,241.6162995,,,
210,20.9004,275.1811908,378.0037962,230.0183157,,,
211,21.0004,239.6288437,415.8369831,288.0938366,,,
212,21.1004,283.8994363,356.2396871,272.2600231,,,
213,21.2004,276.5958717,397.9558481,281.4541791,,,
214,21.3004,300.6064583,344.3309497,275.4822274,,,
215,21.4004,298.4436266,396.2278807,262.9705162,,,
216,21.5004,292.7311882,438.5535632,255.5923737,,,
217,21.6004,310.4610843,419.9941286,247.3144462,,,
218,21.7004,290.9538135,440.5205187,209.8316865,,,
219,21.8004,272.0088406,391.2754419,246.3586486,,,
220,21.9004,295.8791789,415.633792,276.8137241,,,
221,22.0004,343.9555296,377.0625635,249.56858,,,
222,22.1004,287.9033571,373.2878024,269.6251786,,,
223,22.2004,305.3369474,381.5175393,253.8555485,,,
224,22.3004,268.9602652,383.047963,227.0435647,,,
225,22.4004,265.3658145,386.3302973,224.8420222,,,
226,22.5005,268.057848,362.2455821,224.9014303,,,
227,22.6005,284.6862955,395.9209275,222.4204128,,,
228,22.7005,247.5400292,393.4262996,253.0195095,,,
229,22.8005,282.0037753,398.190116,209.2248105,,,
230,22.9005,255.4424388,404.4442876,226.4243925,,,
231,23.0005,280.8359385,422.4129294,232.4138114,,,
232,23.1005,299.9188609,425.2574816,218.2545056,,,
233,23.2005,259.4445036,424.0032446,223.9694652,,,
234,23.3005,276.9214869,393.4117364,222.9436195,,,
235,23.4005,313.1718739,420.7917412,221.8337542,,,
236,23.5005,271.3389236,415.2215529,226.1175933,,,
237,23.6005,281.7109572,404.7231144,228.3090416,,,
238,23.7005,285.5281415,405.6277126,226.8643306,,,
239,23.8005,271.7838257,432.4965342,234.4355252,,,
240,23.9005,307.2070069,432.9560237,236.9539331,,,
241,24.0005,329.9099627,403.3565433,275.8398028,,,
242,24.1005,307.0754156,444.6168825,218.4053189,,,
243,24.2005,242.2862626,430.5974072,240.5419142,,,
244,24.3005,267.6003504,428.8420886,230.3019503,,,
245,24.4005,312.8422626,420.787079,238.1930626,,,
246,24.5005,291.0450222,417.6350332,224.1229968,,,
247,24.6005,302.7818179,391.7903423,234.9645219,,,
248,24.7005,306.3080995,407.5610272,264.6550804,,,
249,24.8005,293.4496792,368.3551524,306.3070116,,,
250,24.9005,285.5203244,373.7600056,288.5855729,,,
251,25.0005,281.5314139,367.3899779,263.9178333,,,
252,25.1005,292.6651652,373.8709162,262.741486,,,
253,25.2005,290.7020256,356.9216145,255.7543658,,,
254,25.3005,269.6525863,383.2784089,246.4915077,,,
255,25.4005,310.6674243,362.008462,272.856038,,,
256,25.5005,325.7861177,338.6511107,249.5399322,,,
257,25.6005,290.3719959,354.9457971,266.7032803,,,
258,25.7005,297.8638386,334.7019809,245.3988843,,,
259,25.8005,305.2290003,331.7195581,240.5244873,,,
260,25.9005,331.4190667,343.3095325,271.8671176,,,
261,26.0005,312.7255274,350.0663779,253.1138742,,,
262,26.1005,293.0049474,326.3347373,246.3064876,,,
263,26.2005,289.102719,341.9379329,226.9616454,,,
264,26.3005,309.5821171,341.4238464,240.9419384,,,
265,26.4005,294.0601471,395.7112584,216.2929975,,,
266,26.5005,296.1447902,440.7913693,269.98519,,,
267,26.6005,277.6400884,454.3656397,271.1941156,,,
268,26.7005,303.9213296,425.8824432,262.8733621,,,
269,26.8005,284.4777749,434.9642944,266.810525,,,
270,26.9005,329.5991859,423.7250783,259.3376512,,,
271,27.0005,271.935076,459.6832116,256.1502659,,,
272,27.1005,275.2131244,446.5366144,288.6046214,,,
273,27.2005,288.9688296,439.7264943,244.7993762,,,
274,27.3005,287.0432553,452.3004504,259.2943614,,,
275,27.4005,274.6978272,447.2224994,252.2432909,,,
276,27.5006,273.6052169,410.4843605,252.0057793,,,
277,27.6006,279.0101016,383.5062172,245.094549,,,
278,27.7006,267.7186983,355.621431,242.1390124,,,
279,27.8006,274.5548289,444.5610897,252.4123646,,,
280,27.9006,281.1860725,370.7598432,240.9649305,,,
281,28.0006,284.9511614,387.346525,250.1218033,,,
282,28.1006,304.857782,315.7730761,253.8703515,,,
283,28.2006,285.3787692,346.3391938,253.0619549,,,
284,28.3006,273.5923948,319.6292817,231.1984244,,,
285,28.4006,332.4425452,352.8496399,255.5810965,,,
286,28.5006,234.9475392,369.279286,247.8903587,,,
287,28.6006,256.49292,355.0505133,243.5462045,,,
288,28.7006,270.7997475,338.3684012,249.0945871,,,
289,28.8006,269.4424676,341.8095126,226.1236649,,,
290,28.9006,278.8033746,332.0551013,280.8747581,,,
291,29.0006,281.401885,364.068641,264.2544084,,,
292,29.1006,233.5421778,425.8760065,263.1454243,,,
293,29.2006,239.8646102,398.3486116,210.7856668,,,
294,29.3006,223.857281,411.1630622,265.4850557,,,
295,29.4006,254.9862201,427.6773819,271.1495658,,,
296,29.5006,255.4185664,435.3271903,298.5186661,,,
297,29.6006,237.1006572,459.2992906,227.8353916,,,
298,29.7006,244.5607285,408.4030108,230.6149758,,,
299,29.8006,299.0693001,420.8078034,227.6295142,,,
300,29.9006,288.4171196,436.486151,236.2676067,,,
301,30.0006,341.7827717,456.5124778,321.0114768,,,
302,30.1006,286.1374454,456.2551822,243.6683087,,,
303,30.2006,278.6325108,507.0196321,259.1790943,,,
304,30.3006,269.7801951,418.2112726,270.3499151,,,
305,30.4006,312.1432078,426.3251036,237.9193234,,,
306,30.5006,308.2604857,405.0339205,228.442037,,,
307,30.6006,311.8253931,463.6479261,268.1942431,,,
308,30.7006,318.0676131,433.1540567,259.5540385,,,
309,30.8006,308.4275415,436.5180186,203.2117711,,,
310,30.9006,322.0781052,410.7323312,264.6428319,,,
311,31.0006,296.162258,418.3831457,260.0122682,,,
312,31.1006,293.3561888,433.7282639,251.902375,,,
313,31.2006,301.1577642,444.6012479,258.8214094,,,
314,31.3006,287.0300455,423.4873914,242.9937213,,,
315,31.4006,292.0834477,397.9085716,226.3957793,,,
316,31.5006,270.5119614,385.0501663,266.5606712,,,
317,31.6006,322.2724632,380.7079074,256.2210105,,,
318,31.7006,308.902987,332.535991,245.5852798,,,
319,31.8006,254.4674639,323.0485581,282.4532598,,,
320,31.9006,274.3225183,346.7942445,229.7625782,,,
321,32.0006,290.3878727,396.1870585,210.2561414,,,
322,32.1006,296.2983177,378.3915213,245.8960321,,,
323,32.2006,307.6568779,386.6432426,206.4394447,,,
324,32.3006,341.7959931,378.2946784,223.1814343,,,
325,32.4006,309.9495142,350.5140402,226.483058,,,
326,32.5007,310.3472016,405.4029518,230.1807193,,,
327,32.6007,331.7736793,400.003735,240.8881844,,,
328,32.7007,378.7207384,398.8398176,212.3621232,,,
329,32.8007,372.6540795,403.2604471,243.6896429,,,
330,32.9007,353.8206346,393.1391927,221.006613,,,
331,33.0007,340.8219117,404.797424,195.2924703,,,
332,33.1007,335.6132766,406.0502365,236.9989086,,,
333,33.2007,337.6317684,369.296614,184.0081491,,,
334,33.3007,343.4276569,393.8710551,215.7526725,,,
335,33.4007,351.4273841,382.7580095,208.1679755,,,
336,33.5007,337.3235837,353.7012632,197.0147522,,,
337,33.6007,324.705994,389.159324,203.8929031,,,
338,33.7007,359.9994393,380.5514339,175.0524373,,,
339,33.8007,369.3027032,317.5263546,198.2974907,,,
340,33.9007,354.841222,308.7060879,212.0266684,,,
341,34.0007,369.5249994,352.6243261,210.4209505,,,
342,34.1007,371.6814359,380.564177,209.6541875,,,
343,34.2007,399.9200981,379.63194,230.9846074,,,
344,34.3007,411.9285302,420.5249243,198.0491666,,,
345,34.4007,345.1831059,398.278411,176.8735575,,,
346,34.5007,382.6330804,347.3243195,183.8044508,,,
347,34.6007,345.6529077,390.9139813,175.1100519,,,
348,34.7007,357.7954782,398.116738,198.4164491,,,
349,34.8007,356.6173968,432.5652906,196.4590643,,,
350,34.9007,371.4608808,447.1759838,198.8059534,,,
351,35.0007,378.7068436,392.9735746,166.8613882,,,
352,35.1007,377.2397844,462.9780307,174.4555748,,,
353,35.2007,400.5125752,454.8702765,150.6826655,,,
354,35.3007,402.9633468,424.5614154,172.7998448,,,
355,35.4007,361.468114,436.379681,201.5832484,,,
356,35.5007,376.5457636,419.6449195,192.3621887,,,
357,35.6007,390.3854693,424.4149809,206.837349,,,
358,35.7007,374.7387312,421.066225,182.2857973,,,
359,35.8007,371.7772488,355.8830599,196.5406034,,,
360,35.9007,350.4757504,378.3208318,196.3438654,,,
361,36.0007,420.0397583,406.5604213,186.7903826,,,
362,36.1007,333.1304342,392.7319381,209.4038597,,,
363,36.2007,312.1913732,389.2978029,209.9320543,,,
364,36.3007,350.5082997,359.0442837,227.1486452,,,
365,36.4007,340.2124388,368.8132861,230.0131985,,,
366,36.5007,358.704113,349.9609511,193.2958646,,,
367,36.6007,376.2869565,387.959829,207.7861426,,,
368,36.7007,391.2148154,392.8688405,202.2361759,,,
369,36.8007,393.6308379,379.0243932,205.9941073,,,
370,36.9007,374.4069194,342.7477259,193.6461756,,,
371,37.0007,359.1714053,387.3568445,192.2700913,,,
372,37.1007,355.1953663,381.6374411,205.1420389,,,
373,37.2007,375.9523211,435.8340155,190.1852951,,,
374,37.3007,361.7488925,442.0514463,206.8957548,,,
375,37.4007,360.8936641,359.5974689,192.331897,,,
376,37.5007,371.4754995,370.2244481,191.316322,,,
377,37.6008,397.4141363,474.937793,207.1189596,,,
378,37.7008,355.4016399,378.0630687,167.5706703,,,
379,37.8008,342.2993689,432.2584831,209.1292241,,,
380,37.9008,369.8420463,406.188573,211.4134936,,,
381,38.0008,362.1139839,393.1072167,243.126735,,,
382,38.1008,358.0124581,369.7813299,191.6756799,,,
383,38.2008,366.658399,357.0541746,212.3775822,,,
384,38.3008,400.7347577,396.0100428,188.3162299,,,
385,38.4008,384.1332645,379.6825408,192.7097042,,,
386,38.5008,418.8213562,406.0699615,204.3297361,,,
387,38.6008,360.9383351,413.1864437,190.6016268,,,
388,38.7008,372.6938522,372.9817344,173.9617929,,,
389,38.8008,322.9437333,338.3592149,183.9903736,,,
390,38.9008,384.4077985,368.6726275,173.7626559,,,
391,39.0008,379.4268115,345.1780905,182.9047006,,,
392,39.1008,387.1154307,359.9635398,173.6393116,,,
393,39.2008,350.7495776,358.9430805,220.1601886,,,
394,39.3008,405.1350174,359.2458605,231.6972882,,,
395,39.4008,415.2319976,325.5933364,182.8361188,,,
396,39.5008,350.6438708,356.6616367,189.2671233,,,
397,39.6008,379.1343297,323.1060643,192.5142925,,,
398,39.7008,384.0078544,360.0416494,211.0426883,,,
399,39.8008,351.8601181,353.8904106,198.0923818,,,
400,39.9008,380.6391907,317.1241948,194.2528577,,,
401,40.0008,397.3429865,365.0982234,183.4500072,,,
402,40.1008,345.1241559,391.9808377,191.8794014,,,
403,40.2008,379.6185284,343.9380341,192.5420652,,,
404,40.3008,358.4980889,362.8985863,194.2177768,,,
405,40.4008,377.3522528,366.2821274,187.6327024,,,
406,40.5008,353.0804232,359.4199591,207.0841046,,,
407,40.6008,345.5135991,361.3755442,196.3530702,,,
408,40.7008,361.6920515,360.7332158,187.4325236,,,
409,40.8008,394.482099,358.6047087,193.5630765,,,
410,40.9008,388.5768119,355.7246512,171.095521,,,
411,41.0008,347.6134485,359.2393214,201.1689161,,,
412,41.1008,326.4297051,330.9549455,195.67695,,,
413,41.2008,317.9058616,354.2992855,208.0492352,,,
414,41.3008,319.6973987,336.6810679,197.5340084,,,
415,41.4008,285.8378422,360.5922438,213.4778673,,,
416,41.5008,277.6897491,362.8514256,209.9478722,,,
417,41.6008,297.2061982,391.1027471,217.2912458,,,
418,41.7008,262.4542063,314.594963,174.725648,,,
419,41.8008,287.0656002,335.8709481,162.6634677,,,
420,41.9008,302.3484111,350.0566387,231.376042,,,
421,42.0008,278.5570361,307.5172937,171.5924344,,,
422,42.1008,341.2132326,365.3327816,186.8404003,,,
423,42.2008,387.5587351,334.8126923,190.652092,,,
424,42.3008,374.9344181,345.8884396,207.3959217,,,
425,42.4008,332.7236306,337.3593009,203.831307,,,
426,42.5008,397.4966707,344.1937254,210.1334938,,,
427,42.6009,298.9505621,311.8235359,209.021237,,,
428,42.7009,296.5820956,343.6502486,193.9279985,,,
429,42.8009,320.543402,303.3450999,259.0465811,,,
430,42.9009,324.6766597,309.7143061,184.2228313,,,
431,43.0009,404.4702532,310.9283208,247.8777608,,,
432,43.1009,313.4430545,331.4052666,252.5241833,,,
433,43.2009,321.9318896,283.3181242,256.1200296,,,
434,43.3009,365.6030373,285.0017615,241.3896716,,,
435,43.4009,397.9986914,295.686033,226.9394078,,,
436,43.5009,405.7655879,292.3435776,197.5824873,,,
437,43.6009,367.5283288,333.725183,204.0658094,,,
438,43.7009,410.4511219,292.8850656,217.3355253,,,
439,43.8009,364.3467634,370.8979691,177.688116,,,
440,43.9009,400.61915,366.2213382,215.3179961,,,
441,44.0009,403.6410329,335.5430988,213.3816944,,,
442,44.1009,417.2188168,356.8813247,226.5960107,,,
443,44.2009,400.333949,372.0481128,254.7499925,,,
444,44.3009,408.3385679,398.9112765,245.5111133,,,
445,44.4009,397.0258495,342.5235435,232.5622203,,,
446,44.5009,416.1495037,357.206125,222.7978286,,,
447,44.6009,423.5036947,359.7259673,264.4472732,,,
448,44.7009,408.3285853,351.1858338,244.5752024,,,
449,44.8009,419.7303683,334.1368576,223.6522441,,,
450,44.9009,395.5815603,414.8424401,250.6761496,,,
451,45.0009,398.5590948,371.9631448,256.8846383,,,
452,45.1009,402.5756285,426.5142475,234.0122791,,,
453,45.2009,429.0530116,363.3342481,226.9754255,,,
454,45.3009,459.4185619,370.8001523,231.2393511,,,
455,45.4009,412.6757207,383.4121756,265.0117623,,,
456,45.5009,430.2707523,386.8559638,225.1751659,,,
457,45.6009,395.6417032,432.7648782,226.1788334,,,
458,45.7009,402.4400512,389.3854055,252.9284444,,,
459,45.8009,440.8618041,356.3035088,274.8395611,,,
460,45.9009,411.9991532,331.2332537,239.9197067,,,
461,46.0009,408.3226725,355.875015,199.8754068,,,
462,46.1009,440.1506273,430.2888424,229.0778486,,,
463,46.2009,415.6635581,380.0785935,229.8875465,,,
464,46.3009,373.1662589,406.4314262,241.7700749,,,
465,46.4009,417.2500667,396.9384367,213.45222,,,
466,46.5009,377.7610188,397.3658714,231.0447035,,,
467,46.6009,372.5541052,400.3915193,246.1378408,,,
468,46.7009,370.5961739,396.3151478,234.2180466,,,
469,46.8009,380.0632839,388.4304064,225.5949194,,,
470,46.9009,401.0138804,406.3059352,219.6513922,,,
471,47.0009,388.2938225,389.6198633,221.0390348,,,
472,47.1009,436.5412714,460.2837377,218.2320094,,,
473,47.2009,390.6037738,415.9159219,225.8155079,,,
474,47.3009,379.1573831,370.0977542,221.9702748,,,
475,47.4009,356.6898064,410.5592817,218.0068168,,,
476,47.501,374.6649012,426.9481536,254.0533425,,,
477,47.601,374.6457211,481.1167527,263.5013139,,,
478,47.701,423.7056063,464.3009303,248.7449646,,,
479,47.801,435.5889407,441.6376101,247.7451789,,,
480,47.901,373.8067546,406.2991313,226.4857572,,,
481,48.001,400.9938209,406.5098481,226.6998298,,,
482,48.101,434.553495,460.2634557,252.8534153,,,
483,48.201,411.3919561,426.0335061,227.1785298,,,
484,48.301,422.9942199,416.7583417,245.2796778,,,
485,48.401,414.6997455,474.6549505,215.2925288,,,
486,48.501,428.9935703,425.129602,228.2193632,,,
487,48.601,410.8273261,438.0049924,222.4879299,,,
488,48.701,389.7058428,431.4597019,191.5656301,,,
489,48.801,389.030269,444.2141155,191.5587112,,,
490,48.901,413.6268493,446.7660175,241.1543567,,,
491,49.001,423.9326424,458.9286314,249.7991721,,,
492,49.101,400.9765365,484.8281039,211.8453326,,,
493,49.201,448.5024756,440.6937388,237.4844286,,,
494,49.301,385.7757792,457.3548744,240.8389422,,,
495,49.401,411.3400193,403.4092661,236.3273845,,,
496,49.501,405.2927941,440.6558551,219.3639698,,,
497,49.601,417.927481,429.6224394,220.2562917,,,
498,49.701,428.967592,458.304113,224.0163386,,,
499,49.801,436.7394077,449.4157845,220.4258036,,,
500,49.901,458.5075569,421.2794053,193.5841645,,,
